"eje","subtema","categoria","sexo","grupo_edad","id","indicador","unidad","cve_area","lugar","url"
"Población","Grupos de edad","Total","Total","10 a 14","1002000061","Población de 10 a 14 años","Personas","19007","Aramberri","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000061/es/19007/false/BISE/2.0/"
"Población","Grupos de edad","Total","Total","10 a 14","1002000061","Población de 10 a 14 años","Personas","19014","Doctor Arroyo","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000061/es/19014/false/BISE/2.0/"
"Población","Grupos de edad","Total","Total","10 a 14","1002000061","Población de 10 a 14 años","Personas","19024","General Zaragoza","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000061/es/19024/false/BISE/2.0/"
"Población","Grupos de edad","Total","Total","10 a 14","1002000061","Población de 10 a 14 años","Personas","19036","Mier y Noriega","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000061/es/19036/false/BISE/2.0/"
"Población","Grupos de edad","Hombres","Hombres","10 a 14","1002000062","Población de 10 a 14 años. Hombres","Personas","19007","Aramberri","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000062/es/19007/false/BISE/2.0/"
"Población","Grupos de edad","Hombres","Hombres","10 a 14","1002000062","Población de 10 a 14 años. Hombres","Personas","19014","Doctor Arroyo","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000062/es/19014/false/BISE/2.0/"
"Población","Grupos de edad","Hombres","Hombres","10 a 14","1002000062","Población de 10 a 14 años. Hombres","Personas","19024","General Zaragoza","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000062/es/19024/false/BISE/2.0/"
"Población","Grupos de edad","Hombres","Hombres","10 a 14","1002000062","Población de 10 a 14 años. Hombres","Personas","19036","Mier y Noriega","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000062/es/19036/false/BISE/2.0/"
"Población","Grupos de edad","Mujeres","Mujeres","10 a 14","1002000063","Población de 10 a 14 años. Mujeres","Personas","19007","Aramberri","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000063/es/19007/false/BISE/2.0/"
"Población","Grupos de edad","Mujeres","Mujeres","10 a 14","1002000063","Población de 10 a 14 años. Mujeres","Personas","19014","Doctor Arroyo","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000063/es/19014/false/BISE/2.0/"
"Población","Grupos de edad","Mujeres","Mujeres","10 a 14","1002000063","Población de 10 a 14 años. Mujeres","Personas","19024","General Zaragoza","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000063/es/19024/false/BISE/2.0/"
"Población","Grupos de edad","Mujeres","Mujeres","10 a 14","1002000063","Población de 10 a 14 años. Mujeres","Personas","19036","Mier y Noriega","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000063/es/19036/false/BISE/2.0/"
"Población","Grupos de edad","Total","Total","15 a 19","1002000067","Población de 15 a 19 años","Personas","19007","Aramberri","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000067/es/19007/false/BISE/2.0/"
"Población","Grupos de edad","Total","Total","15 a 19","1002000067","Población de 15 a 19 años","Personas","19014","Doctor Arroyo","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000067/es/19014/false/BISE/2.0/"
"Población","Grupos de edad","Total","Total","15 a 19","1002000067","Población de 15 a 19 años","Personas","19024","General Zaragoza","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000067/es/19024/false/BISE/2.0/"
"Población","Grupos de edad","Total","Total","15 a 19","1002000067","Población de 15 a 19 años","Personas","19036","Mier y Noriega","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000067/es/19036/false/BISE/2.0/"
"Población","Grupos de edad","Hombres","Hombres","15 a 19","1002000068","Población de 15 a 19 años. Hombres","Personas","19007","Aramberri","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000068/es/19007/false/BISE/2.0/"
"Población","Grupos de edad","Hombres","Hombres","15 a 19","1002000068","Población de 15 a 19 años. Hombres","Personas","19014","Doctor Arroyo","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000068/es/19014/false/BISE/2.0/"
"Población","Grupos de edad","Hombres","Hombres","15 a 19","1002000068","Población de 15 a 19 años. Hombres","Personas","19024","General Zaragoza","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000068/es/19024/false/BISE/2.0/"
"Población","Grupos de edad","Hombres","Hombres","15 a 19","1002000068","Población de 15 a 19 años. Hombres","Personas","19036","Mier y Noriega","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000068/es/19036/false/BISE/2.0/"
"Población","Grupos de edad","Mujeres","Mujeres","15 a 19","1002000069","Población de 15 a 19 años. Mujeres","Personas","19007","Aramberri","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000069/es/19007/false/BISE/2.0/"
"Población","Grupos de edad","Mujeres","Mujeres","15 a 19","1002000069","Población de 15 a 19 años. Mujeres","Personas","19014","Doctor Arroyo","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000069/es/19014/false/BISE/2.0/"
"Población","Grupos de edad","Mujeres","Mujeres","15 a 19","1002000069","Población de 15 a 19 años. Mujeres","Personas","19024","General Zaragoza","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000069/es/19024/false/BISE/2.0/"
